id_venda;sk_cliente;sk_produto;canal_venda;campanha;data_venda;quantidade;desconto
1;30;100;site;sem campanha;2024-01-16;1;0.0
2;54;107;site;compre dois e leve 3;2024-01-23;2;0.0
3;44;101;site;24 horas pela metade do preço;2024-01-17;1;0.5
4;24;100;whatsapp;compre dois e leve 3;2024-01-08;2;0.0
5;26;100;loja;compre dois e leve 3;2024-01-19;2;0.0
6;86;100;instagram;24 horas pela metade do preço;2024-01-14;1;0.5
7;16;106;instagram;compre dois e leve 3;2024-01-18;2;0.0
8;45;102;instagram;sem campanha;2024-01-23;1;0.0
9;55;106;instagram;compre dois e leve 3;2024-01-06;2;0.0
10;53;108;instagram;compre dois e leve 3;2024-01-18;2;0.0
11;78;106;site;sem campanha;2024-01-04;1;0.0
12;54;103;site;24 horas pela metade do preço;2024-01-07;1;0.5
13;39;105;loja;sem campanha;2024-01-13;1;0.0
14;91;108;instagram;24 horas pela metade do preço;2024-01-12;1;0.5
15;24;103;whatsapp;compre dois e leve 3;2024-01-15;2;0.0
16;50;103;whatsapp;24 horas pela metade do preço;2024-01-14;1;0.5
17;64;104;whatsapp;compre dois e leve 3;2024-01-07;2;0.0
18;14;102;loja;24 horas pela metade do preço;2024-01-16;1;0.5
19;32;102;whatsapp;sem campanha;2024-01-24;1;0.0
20;34;102;site;compre dois e leve 3;2024-01-25;2;0.0
21;37;101;whatsapp;24 horas pela metade do preço;2024-01-21;1;0.5
22;43;105;site;24 horas pela metade do preço;2024-01-03;1;0.5
23;48;107;site;compre dois e leve 3;2024-01-17;2;0.0
24;86;105;instagram;sem campanha;2024-01-05;1;0.0
25;67;100;instagram;sem campanha;2024-01-18;1;0.0
26;90;102;instagram;sem campanha;2024-01-16;1;0.0
27;69;101;loja;24 horas pela metade do preço;2024-01-26;1;0.5
28;67;101;instagram;sem campanha;2024-01-13;1;0.0
29;59;104;site;compre dois e leve 3;2024-01-01;2;0.0
30;27;105;whatsapp;compre dois e leve 3;2024-01-03;2;0.0
31;76;104;site;24 horas pela metade do preço;2024-01-24;1;0.5
32;29;102;loja;sem campanha;2024-01-21;1;0.0
33;51;106;whatsapp;24 horas pela metade do preço;2024-01-07;1;0.5
34;79;107;whatsapp;compre dois e leve 3;2024-01-11;2;0.0
35;44;100;site;24 horas pela metade do preço;2024-01-27;1;0.5
36;33;102;site;compre dois e leve 3;2024-01-21;2;0.0
37;51;104;whatsapp;compre dois e leve 3;2024-01-05;2;0.0
38;3;101;site;compre dois e leve 3;2024-01-06;2;0.0
39;82;101;site;24 horas pela metade do preço;2024-01-27;1;0.5
40;95;102;instagram;sem campanha;2024-01-25;1;0.0
41;5;106;loja;compre dois e leve 3;2024-01-23;2;0.0
42;48;108;site;compre dois e leve 3;2024-01-11;2;0.0
43;68;104;whatsapp;24 horas pela metade do preço;2024-01-27;1;0.5
44;28;100;whatsapp;sem campanha;2024-01-14;1;0.0
45;45;102;whatsapp;compre dois e leve 3;2024-01-02;2;0.0
46;12;107;instagram;sem campanha;2024-01-25;1;0.0
47;24;101;instagram;24 horas pela metade do preço;2024-01-09;1;0.5
48;90;101;whatsapp;24 horas pela metade do preço;2024-01-08;1;0.5
49;92;106;loja;compre dois e leve 3;2024-01-02;2;0.0
50;27;105;loja;sem campanha;2024-01-21;1;0.0
51;41;100;site;sem campanha;2024-01-26;1;0.0
52;72;104;whatsapp;compre dois e leve 3;2024-01-19;2;0.0
53;5;101;loja;sem campanha;2024-01-18;1;0.0
54;55;104;whatsapp;24 horas pela metade do preço;2024-01-22;1;0.5
55;83;107;whatsapp;compre dois e leve 3;2024-01-17;2;0.0
56;58;101;whatsapp;sem campanha;2024-01-25;1;0.0
57;63;107;site;24 horas pela metade do preço;2024-01-25;1;0.5
58;37;105;loja;sem campanha;2024-01-04;1;0.0
59;52;104;whatsapp;sem campanha;2024-01-26;1;0.0
60;68;102;whatsapp;sem campanha;2024-01-04;1;0.0
61;42;103;site;sem campanha;2024-01-22;1;0.0
62;60;106;instagram;sem campanha;2024-01-07;1;0.0
63;42;102;loja;sem campanha;2024-01-11;1;0.0
64;3;106;instagram;sem campanha;2024-01-23;1;0.0
65;70;108;whatsapp;24 horas pela metade do preço;2024-01-13;1;0.5
66;4;104;instagram;sem campanha;2024-01-08;1;0.0
